Slice,Count,Total.Area,Average.Size,X.Area,Perim.,Circ.,Solidity
W006_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G4_4_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G4_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G4_9_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G5_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G5_3_para_B.TIF,1,0.008,0.008,0.006,0.456,0.471,0.86
W006_G5_4_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_G5_8_perp_B.TIF,2,0.016,0.008,0.013,0.452,0.48,0.778
W006_G5_9_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W006_positive_B.TIF,12,0.609,0.051,0.507,2.21,0.227,0.5
W007_G1_1_para_Atr.TIF,19,0.389,0.02,0.324,1.234,0.251,0.585
W007_G1_2_para_Atr.TIF,12,0.261,0.022,0.217,1.286,0.209,0.523
W007_G1_3_para_Atr.TIF,3,0.046,0.015,0.038,0.875,0.281,0.648
W007_G1_6_perp_Atr.TIF,23,0.396,0.017,0.33,1.01,0.252,0.619
W007_G1_7_perp_Atr.TIF,11,0.244,0.022,0.203,1.284,0.195,0.545
W007_G1_8_perp_Atr.TIF,24,0.508,0.021,0.423,1.189,0.226,0.577
W007_G2_1_para_Atr.TIF,13,0.235,0.018,0.196,1.103,0.237,0.594
W007_G2_2_para_Atr.TIF,13,0.269,0.021,0.224,1.211,0.221,0.514
W007_G2_3_para_Atr.TIF,7,0.159,0.023,0.133,1.294,0.255,0.593
W007_G2_6_perp_Atr.TIF,18,0.391,0.022,0.325,1.287,0.25,0.585
W007_G2_7_perp_Atr.TIF,4,0.098,0.025,0.082,1.469,0.178,0.536
W007_G2_8_perp_Atr.TIF,8,0.21,0.026,0.175,1.471,0.199,0.572
W007_G3_1_para_Atr.TIF,11,0.144,0.013,0.12,0.851,0.264,0.616
W007_G3_2_para_Atr.TIF,11,0.344,0.031,0.287,1.49,0.264,0.609
W007_G3_3_para_Atr.TIF,14,0.339,0.024,0.283,1.351,0.226,0.555
W007_G3_6_perp_Atr.TIF,15,0.321,0.021,0.267,1.263,0.205,0.494
W007_G3_7_perp_Atr.TIF,20,0.395,0.02,0.329,1.172,0.251,0.572
W007_G3_8_perp_Atr.TIF,16,0.363,0.023,0.302,1.303,0.219,0.513
W007_G4_1_para_Atr.TIF,16,0.374,0.023,0.311,1.425,0.213,0.495
W007_G4_2_para_Atr.TIF,14,0.266,0.019,0.221,1.133,0.22,0.56
W007_G4_3_para_Atr.TIF,10,0.135,0.013,0.112,0.902,0.224,0.581
W007_G4_6_perp_Atr.TIF,22,0.51,0.023,0.425,1.221,0.255,0.571
W007_G4_7_perp_Atr.TIF,17,0.319,0.019,0.266,1.082,0.287,0.618
W007_G4_8_perp_Atr.TIF,15,0.402,0.027,0.335,1.547,0.223,0.532
W007_G5_1_para_Atr.TIF,6,0.117,0.019,0.097,1.158,0.241,0.524
W007_G5_2_para_Atr.TIF,7,0.088,0.013,0.073,0.772,0.285,0.636
W007_G5_3_para_Atr.TIF,15,0.384,0.026,0.319,1.497,0.202,0.502
W007_G5_6_perp_Atr.TIF,11,0.326,0.03,0.271,1.724,0.221,0.501
W007_G5_7_perp_Atr.TIF,11,0.256,0.023,0.213,1.341,0.217,0.558
W007_G5_8_perp_Atr.TIF,8,0.133,0.017,0.11,0.906,0.322,0.664
W007_negative__Atr.TIF,1,0.02,0.02,0.016,1.092,0.206,0.512
W007_positive__Atr.TIF,15,0.606,0.04,0.504,2.273,0.129,0.397
W007_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_3_para_B.TIF,1,0.008,0.008,0.007,0.375,0.7,0.887
W007_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_8_perp_B.TIF,1,0.007,0.007,0.006,0.423,0.519,0.812
W007_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G3_2_para_B.TIF,1,0.006,0.006,0.005,0.398,0.502,0.861
W007_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G3_6_perp_B.TIF,1,0.013,0.013,0.011,0.606,0.447,0.691
W007_G3_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G3_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_6_perp_B.TIF,1,0.022,0.022,0.019,1.325,0.16,0.466
W007_G4_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_1_para_B.TIF,1,0.006,0.006,0.005,0.329,0.653,0.891
W007_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_8_perp_B.TIF,1,0.009,0.009,0.008,0.778,0.187,0.619
W007_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_positive_B.TIF,14,0.547,0.039,0.455,2.069,0.17,0.426
W008_G1_1_para_Atr.TIF,1,0.007,0.007,0.006,0.438,0.46,0.695
W008_G1_2_para_Atr.TIF,4,0.095,0.024,0.079,1.39,0.204,0.551
W008_G1_3_para_Atr.TIF,1,0.014,0.014,0.012,1.006,0.179,0.533
W008_G1_6_perp_Atr.TIF,7,0.114,0.016,0.095,1.056,0.207,0.544
W008_G1_7_perp_Atr.TIF,6,0.109,0.018,0.091,1.075,0.222,0.534
W008_G1_8_perp_Atr.TIF,3,0.15,0.05,0.125,2.743,0.105,0.348
W008_G2_1_para_Atr.TIF,3,0.041,0.014,0.035,0.944,0.204,0.493
W008_G2_2_para_Atr.TIF,4,0.083,0.021,0.069,1.215,0.185,0.56
W008_G2_3_para_Atr.TIF,2,0.029,0.014,0.024,1.079,0.205,0.716
W008_G2_6_perp_Atr.TIF,3,0.066,0.022,0.055,1.275,0.223,0.465
W008_G2_7_perp_Atr.TIF,8,0.257,0.032,0.214,1.77,0.186,0.484
W008_G2_8_perp_Atr.TIF,7,0.087,0.012,0.072,0.716,0.333,0.633
W008_G3_1_para_Atr.TIF,7,0.129,0.018,0.108,1.121,0.241,0.541
W008_G3_2_perp_Atr.TIF,7,0.161,0.023,0.134,1.448,0.184,0.505
W008_G3_3_para_Atr.TIF,5,0.154,0.031,0.128,1.687,0.205,0.471
W008_G3_6_para_Atr.TIF,9,0.239,0.027,0.199,1.535,0.198,0.552
W008_G3_7_perp_Atr.TIF,3,0.047,0.016,0.039,0.982,0.216,0.517
W008_G3_8_perp_Atr.TIF,3,0.063,0.021,0.053,1.154,0.243,0.585
W008_G4_1_para_Atr.TIF,3,0.044,0.015,0.037,0.842,0.261,0.604
W008_G4_2_para_Atr.TIF,5,0.174,0.035,0.145,1.939,0.262,0.584
W008_G4_3_para_Atr.TIF,4,0.053,0.013,0.044,0.821,0.268,0.637
W008_G4_6_perp_Atr.TIF,9,0.179,0.02,0.149,1.223,0.263,0.543
W008_G4_7_perp_Atr.TIF,5,0.1,0.02,0.083,1.185,0.257,0.553
W008_G4_8_perp_Atr.TIF,7,0.156,0.022,0.13,1.282,0.239,0.532
W008_G5_1_para_Atr.TIF,6,0.085,0.014,0.071,0.803,0.339,0.641
W008_G5_2_para_Atr.TIF,2,0.012,0.006,0.01,0.498,0.318,0.765
W008_G5_3_para_Atr.TIF,3,0.054,0.018,0.045,1.012,0.311,0.562
W008_G5_6_perp_Atr.TIF,8,0.226,0.028,0.188,1.433,0.259,0.592
W008_G5_7_perp_Atr.TIF,4,0.094,0.024,0.079,1.42,0.168,0.422
W008_G5_8_perp_Atr.TIF,4,0.062,0.016,0.052,0.867,0.325,0.65
W008_negative__Atr.TIF,1,0.01,0.01,0.009,0.753,0.23,0.504
W008_positive__Atr.TIF,10,0.406,0.041,0.338,2.373,0.146,0.381
W008_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G1_2_para_B.TIF,2,0.024,0.012,0.02,0.829,0.29,0.591
W008_G1_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G1_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G1_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G2_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G2_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G2_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G2_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G3_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G3_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G3_7_perp_B.TIF,1,0.02,0.02,0.016,0.941,0.28,0.73
W008_G3_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G4_7_perp_B.TIF,1,0.006,0.006,0.005,0.41,0.474,0.896
W008_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G5_1_para_B.TIF,1,0.009,0.009,0.008,0.597,0.331,0.587
W008_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G5_3_para_B.TIF,1,0.006,0.006,0.005,0.452,0.371,0.613
W008_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_G5_8_perp_B.TIF,1,0.026,0.026,0.022,1.728,0.109,0.258
W008_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W008_positive_B.TIF,13,0.554,0.043,0.461,2.434,0.13,0.385
W009_G1_1_para_Atr.TIF,17,0.35,0.021,0.291,255,0.192,0.516
W009_G1_2_para_Atr.TIF,6,0.112,0.019,0.093,255,0.224,0.641
W009_G1_3_para_Atr.TIF,7,0.145,0.021,0.121,255,0.252,0.6
W009_G1_6_perp_Atr.TIF,13,0.286,0.022,0.238,255,0.231,0.603
W009_G1_7_perp_Atr.TIF,3,0.152,0.051,0.127,255,0.23,0.411
W009_G1_8_perp_Atr.TIF,7,0.136,0.019,0.113,255,0.251,0.604
W009_G2_1_para_Atr.TIF,5,0.047,0.009,0.039,255,0.304,0.588
W009_G2_2_para_Atr.TIF,6,0.153,0.026,0.128,255,0.131,0.412
W009_G2_3_para_Atr.TIF,7,0.099,0.014,0.082,255,0.237,0.529
W009_G2_6_perp_Atr.TIF,6,0.159,0.026,0.132,255,0.219,0.575
W009_G2_7_perp_Atr.TIF,4,0.112,0.028,0.093,255,0.252,0.576
W009_G2_8_perp_Atr.TIF,2,0.02,0.01,0.017,255,0.173,0.506
W009_G3_1_para_Atr.TIF,27,0.557,0.021,0.463,255,0.209,0.54
W009_G3_2_para_Atr.TIF,16,0.36,0.023,0.3,255,0.215,0.518
W009_G3_3_para_Atr.TIF,7,0.097,0.014,0.08,255,0.252,0.545
W009_G3_6_perp_Atr.TIF,10,0.139,0.014,0.116,255,0.22,0.565
W009_G3_7_perp_Atr.TIF,16,0.334,0.021,0.278,255,0.249,0.553
W009_G3_8_perp_Atr.TIF,11,0.193,0.018,0.16,255,0.277,0.617
W009_G4_1_para_Atr.TIF,10,0.199,0.02,0.166,255,0.178,0.522
W009_G4_2_para_Atr.TIF,8,0.137,0.017,0.114,255,0.237,0.571
W009_G4_3_para_Atr.TIF,9,0.279,0.031,0.233,255,0.184,0.447
W009_G4_6_perp_Atr.TIF,11,0.214,0.019,0.178,255,0.219,0.503
W009_G4_7_perp_Atr.TIF,5,0.076,0.015,0.063,255,0.29,0.61
W009_G4_8_perp_Atr.TIF,23,0.512,0.022,0.426,255,0.23,0.561
W009_G5_1_para_Atr.TIF,8,0.113,0.014,0.094,255,0.304,0.592
W009_G5_2_para_Atr.TIF,8,0.158,0.02,0.132,255,0.197,0.511
W009_G5_3_para_Atr.TIF,6,0.148,0.025,0.123,255,0.186,0.491
W009_G5_6_perp_Atr.TIF,13,0.353,0.027,0.294,255,0.192,0.52
W009_G5_7_perp_Atr.TIF,5,0.094,0.019,0.078,255,0.192,0.555
W009_G5_8_perp_Atr.TIF,8,0.16,0.02,0.133,255,0.297,0.589
W009_negative__Atr.TIF,1,0.012,0.012,0.01,255,0.215,0.488
W009_positive__Atr.TIF,14,0.405,0.029,0.337,255,0.179,0.503
W009_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_7_perp_B.TIF,1,0.009,0.009,0.007,255,0.313,0.716
W009_G1_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_1_para_B.TIF,1,0.011,0.011,0.009,255,0.256,0.773
W009_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_8_perp_B.TIF,2,0.043,0.022,0.036,255,0.157,0.407
W009_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_8_perp_B.TIF,1,0.012,0.012,0.01,255,0.353,0.671
W009_negative_B.TIF,1,0.011,0.011,0.009,255,0.243,0.535
W009_positive_B.TIF,12,0.458,0.038,0.381,255,0.14,0.43
W010_G1_1_para_Atr.TIF,11,0.232,0.021,0.193,255,0.237,0.558
W010_G1_2_para_Atr.TIF,7,0.091,0.013,0.076,255,0.238,0.526
W010_G1_3_para_Atr.TIF,10,0.175,0.017,0.146,255,0.212,0.554
W010_G1_6_perp_Atr.TIF,3,0.139,0.046,0.115,255,0.158,0.431
W010_G1_7_perp_Atr.TIF,6,0.104,0.017,0.086,255,0.232,0.582
W010_G1_8_perp_Atr.TIF,9,0.153,0.017,0.127,255,0.255,0.597
W010_G2_1_para_Atr.TIF,10,0.165,0.017,0.138,255,0.217,0.535
W010_G2_2_para_Atr.TIF,6,0.096,0.016,0.08,255,0.232,0.566
W010_G2_3_para_Atr.TIF,4,0.047,0.012,0.039,255,0.415,0.803
W010_G2_6_perp_Atr.TIF,11,0.269,0.024,0.224,255,0.215,0.537
W010_G2_7_perp_Atr.TIF,8,0.16,0.02,0.133,255,0.313,0.574
W010_G2_8_perp_Atr.TIF,7,0.183,0.026,0.152,255,0.168,0.463
W010_G3_1_para_Atr.TIF,3,0.03,0.01,0.025,255,0.279,0.585
W010_G3_2_para_Atr.TIF,5,0.074,0.015,0.062,255,0.213,0.521
W010_G3_3_para_Atr.TIF,2,0.038,0.019,0.031,255,0.193,0.494
W010_G3_6_perp_Atr.TIF,8,0.184,0.023,0.153,255,0.204,0.55
W010_G3_7_perp_Atr.TIF,8,0.179,0.022,0.149,255,0.219,0.55
W010_G3_8_perp_Atr.TIF,7,0.139,0.02,0.115,255,0.323,0.624
W010_G4_1_para_Atr.TIF,7,0.149,0.021,0.124,255,0.188,0.528
W010_G4_2_para_Atr.TIF,7,0.125,0.018,0.104,255,0.254,0.596
W010_G4_3_para_Atr.TIF,7,0.194,0.028,0.161,255,0.16,0.516
W010_G4_6_perp_Atr.TIF,7,0.169,0.024,0.141,255,0.186,0.603
W010_G4_7_perp_Atr.TIF,9,0.208,0.023,0.173,255,0.199,0.537
W010_G4_8_perp_Atr.TIF,12,0.257,0.021,0.214,255,0.223,0.607
W010_G5_1_para_Atr.TIF,5,0.117,0.023,0.097,255,0.27,0.581
W010_G5_2_para_Atr.TIF,5,0.183,0.037,0.152,255,0.183,0.441
W010_G5_3_para_Atr.TIF,5,0.135,0.027,0.112,255,0.163,0.55
W010_G5_6_perp_Atr.TIF,2,0.026,0.013,0.021,255,0.36,0.77
W010_G5_7_perp_Atr.TIF,3,0.036,0.012,0.03,255,0.295,0.664
W010_G5_8_perp_Atr.TIF,2,0.026,0.013,0.022,255,0.298,0.611
W010_negative__Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_positive__Atr.TIF,13,0.4,0.031,0.333,255,0.171,0.473
W010_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G1_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G1_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G1_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G1_8_perp_B.TIF,1,0.006,0.006,0.005,255,0.327,0.646
W010_G2_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G2_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G2_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G2_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G3_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G3_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G3_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G3_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G4_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G5_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G5_2_para_B.TIF,1,0.011,0.011,0.009,255,0.397,0.867
W010_G5_3_para_B.TIF,1,0.006,0.006,0.005,255,0.545,0.776
W010_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_G5_7_perp_B.TIF,1,0.014,0.014,0.012,255,0.252,0.652
W010_G5_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_negative_B.TIF,1,0.013,0.013,0.011,255,0.235,0.516
W010_positive_B.TIF,12,0.46,0.038,0.383,255,0.138,0.402
W011_G1_1_para_Atr.TIF,7,0.118,0.017,0.098,255,0.265,0.6
