Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20210517,1,Ndata,1360.1,1360.2,1360.2,1360.3,1360.1
FN,20210517,1,Ndata,1360.3,1360.2,1360.3,1360.2,1360.4
FA,20210517,1,Ndata,1361,1361.2,1361.2,1361.1,1361
FN,20210517,1,Sample,1428.1,1428.2,1428.1,1428.1,1428
FA,20210519,2,Ndata,1360.6,1360.5,1360.6,1360.5,1360.4
FN,20210519,2,Ndata,1360.4,1360.4,1360.5,1360.4,1360.3
FA,20210519,2,Ndata,1361.6,1361.5,1361.6,1361.5,1361.5
FN,20210519,2,Sample,1464.7,1464.6,1464.5,1464.6,1464.7
FA,20210524,3,Ndata,1360.5,1360.6,1360.5,1360.6,1360.6
FN,20210524,3,Ndata,1360.4,1360.5,1360.4,1360.3,1360.4
FA,20210524,3,Ndata,1361.9,1361.8,1361.9,1361.9,1361.8
FN,20210524,3,Sample,1447.7,1447.8,1447.7,1447.7,1447.8
FA,20210526,4,Ndata,1360.3,1360.4,1360.4,1360.3,1360.5
FN,20210526,4,Ndata,1360.5,1360.4,1360.5,1360.5,1360.4
FA,20210526,4,Ndata,1361.7,1361.6,1361.5,1361.6,1361.6
FN,20210526,4,Sample,1492.9,1493,1492.9,1493,1493
FA,20210531,5,Ndata,1360.4,1360.3,1360.3,1360.4,1360.3
FN,20210531,5,Ndata,1360.2,1360.4,1360.3,1360.3,1360.4
FA,20210531,5,Ndata,1362.3,1362.2,1362.3,1362.3,1362.2
FN,20210531,5,Sample,1483.8,1483.9,1483.8,1483.9,1483.9
FA,20210607,6,Ndata,1360.3,1360.4,1360.3,1360.5,1360.4
FN,20210607,6,Ndata,1360.4,1360.4,1360.4,1360.3,1360.3
FA,20210607,6,Ndata,1361.9,1362,1362,1361.9,1361.8
FN,20210607,6,Sample,1486.4,1486.5,1486.5,1486.5,1486.3
FA,20210609,7,Ndata,1360.6,1360.5,1360.6,1360.6,1360.4
FN,20210609,7,Ndata,1360.6,1360.5,1360.6,1360.6,1360.6
FA,20210609,7,Ndata,1361.2,1361.3,1361.2,1361.2,1361.1
FN,20210609,7,Sample,1469.9,1470,1469.8,1469.8,1469.9
FA,20220610,8,Ndata,1360.6,1360.5,1360.6,1360.6,1360.4
FN,20220610,8,Ndata,1360.6,1360.5,1360.6,1360.6,1360.7
FA,20220610,8,Ndata,1361.9,1362,1362,1361.9,1361.9
FN,20220610,8,Sample,1468,1468,1468.1,1468,1467.9
FA,20210614,9,Ndata,1360.6,1360.5,1360.6,1360.6,1360.7
FN,20210614,9,Ndata,1360.5,1360.5,1360.4,1360.4,1360.5
FA,20210614,9,Ndata,1361.8,1361.7,1361.8,1361.8,1361.9
FN,20210614,9,Sample,1466.8,1466.8,1466.9,1466.9,1466.8
FA,20210615,10,Ndata,1360.5,1360.5,1360.4,1360.4,1360.5
FN,20210615,10,Ndata,1360.4,1360.5,1360.5,1360.5,1360.4
FA,20210615,10,Ndata,1361,1361,1361.1,1361.1,1360.9
FN,20210615,10,Sample,1490.2,1490.1,1490.1,1490.1,1490.2
FA,20210616,11,Ndata,1360.5,1360.6,1360.5,1360.6,1360.5
FN,20210616,11,Ndata,1360.4,1360.5,1360.5,1360.5,1360.4
FA,20210616,11,Ndata,1361.8,1361.8,1361.7,1361.8,1361.8
FN,20210616,11,Sample,1489.7,1489.6,1489.6,1489.6,1489.7
FA,20210617,12,Ndata,1360.4,1360.5,1360.5,1360.5,1360.4
FN,20210617,12,Ndata,1360.6,1360.5,1360.4,1360.4,1360.5
FA,20210617,12,Ndata,1361.9,1362,1362,1361.9,1362
FN,20210617,12,Sample,1488.1,1488,1488,1488,1488.1
FA,20210622,13,Ndata,1360,1360.1,1360.1,1360,1360.2
FN,20210622,13,Ndata,1360.5,1360.5,1360.4,1360.5,1360.5
FA,20210622,13,Ndata,1360.6,1360.6,1360.7,1360.6,1360.6
FN,20210622,13,Sample,1495,1495,1494.9,1495.1,1495.1
FA,20210628,14,Ndata,1360.5,1360.5,1360.4,1360.5,1360.5
FN,20210628,14,Ndata,1360.3,1360.4,1360.3,1360.3,1360.5
FA,20210628,14,Ndata,1361.2,1361.1,1361,1361,1361
FN,20210628,14,Sample,1492.1,1492.2,1492.2,1492,1492.1
FA,20210629,15,Ndata,1360.3,1360.4,1360.3,1360.3,1360.5
FN,20210629,15,Ndata,1360.6,1360.7,1360.6,1360.5,1360.6
FA,20210629,15,Ndata,1361.6,1361.6,1361.6,1361.5,1361.6
FN,20210629,15,Sample,1515.3,1515.4,1515.4,1515.3,1515.4
FA,20210630,16,Ndata,1360.6,1360.7,1360.6,1360.5,1360.6
FN,20210630,16,Ndata,1360.2,1360.1,1360.2,1360.2,1360.3
FA,20210630,16,Ndata,1360.9,1361,1361.1,1361.1,1361
FN,20210630,16,Sample,1466.9,1466.8,1466.8,1467,1466.9
FA,20210701,17,Ndata,1360.4,1360.4,1360.4,1360.5,1360.3
FN,20210701,17,Ndata,1360.5,1360.5,1360.4,1360.3,1360.3
