Slice,Count,Total Area,Average Size,%Area,Mean,,
RT59_G1_1_para_Atr.TIF,1,0.041,0.041,0.033,255,,
RT5_G1_1_para_Atr.TIF,8,0.437,0.055,0.353,255,,
RT60_G1_1_para_Atr.TIF,2,0.065,0.033,0.053,255,,
RT61_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT62_G1_1_para_Atr.TIF,3,0.055,0.018,0.044,255,,
RT63_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT64_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT65_G1_1_para_Atr.TIF,2,0.016,0.008,0.013,255,,
RT66_G1_1_para_Atr.TIF,1,0.009,0.009,0.008,255,,
RT67_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT68_G1_1_para_Atr.TIF,1,0.007,0.007,0.006,255,,
RT69_G1_1_para_Atr.TIF,2,0.12,0.06,0.097,255,,
RT6_G1_1_para_Atr.TIF,3,0.063,0.021,0.051,255,,
RT70_G1_1_para_Atr.TIF,4,0.147,0.037,0.119,255,,
RT71_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT72_G1_1_para_Atr.TIF,4,0.046,0.011,0.037,255,,
RT73_G1_1_para_Atr.TIF,2,0.043,0.021,0.035,255,,
RT74_G1_1_para_Atr.TIF,1,0.01,0.01,0.008,255,,
RT75_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT76_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT77_G1_1_para_Atr.TIF,3,0.026,0.009,0.021,255,,
RT78_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT79_G1_1_para_Atr.TIF,1,0.031,0.031,0.025,255,,
RT7_G1_1_para_Atr.TIF,2,0.045,0.022,0.036,255,,
RT80_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT81_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT82_G1_1_para_Atr.TIF,1,0.013,0.013,0.011,255,,
RT83_G1_1_para_Atr.TIF,1,0.009,0.009,0.007,255,,
RT84_G1_1_para_Atr.TIF,1,0.106,0.106,0.086,255,,
RT85_G1_1_para_Atr.TIF,1,0.026,0.026,0.021,255,,
RT86_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT87_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT88_G1_1_para_Atr.TIF,1,0.031,0.031,0.025,255,,
RT89_G1_1_para_Atr.TIF,1,0.015,0.015,0.012,255,,
RT8_G1_1_para_Atr.TIF,7,0.218,0.031,0.176,255,,
RT90_G1_1_para_Atr.TIF,1,0.015,0.015,0.012,255,,
RT91_G1_1_para_Atr.TIF,1,0.016,0.016,0.013,255,,
RT92_G1_1_para_Atr.TIF,3,0.054,0.018,0.043,255,,
RT93_G1_1_para_Atr.TIF,3,0.043,0.014,0.035,255,,
RT94_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT95_G1_1_para_Atr.TIF,1,0.054,0.054,0.043,255,,
RT96_G1_1_para_Atr.TIF,1,0.009,0.009,0.008,255,,
RT97_G1_1_para_Atr.TIF,1,0.008,0.008,0.006,255,,
RT98_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT99_G1_1_para_Atr.TIF,0,0,NaN,0,NaN,,
RT9_G1_1_para_Atr.TIF,2,0.057,0.029,0.046,255,,
RT_G1_1_negative_Atr.TIF,1,0.009,0.009,0.007,255,,
RT_G1_1_positive_Atr.TIF,11,0.387,0.035,0.313,255,,
RT100_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT10_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT11_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT12_G1_1_para_B.TIF,1,0.009,0.009,0.008,255,,
RT13_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT14_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT15_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT16_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT17_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT18_G1_1_para_B.TIF,1,0.009,0.009,0.007,255,,
RT19_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT1_G1_1_para_B.TIF,1,0.009,0.009,0.008,255,,
RT20_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT21_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT22_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT23_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT24_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT25_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT26_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT27_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT28_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT29_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT2_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT30_G1_1_para_B.TIF,1,0.007,0.007,0.006,255,,
RT31_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT32_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT33_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT34_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT35_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT36_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT37_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT38_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT39_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT3_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT40_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT41_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT42_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT43_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT44_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT45_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT46_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT47_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT48_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT49_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT4_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT50_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT51_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT52_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT53_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT54_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT55_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT56_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT57_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT58_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT59_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT5_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT60_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT61_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT62_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT63_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT64_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT65_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT66_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT67_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT68_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT69_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT6_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT70_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT71_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT72_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT73_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT74_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT75_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT76_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT77_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT78_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT79_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT7_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT80_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT81_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT82_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT83_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT84_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT85_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT86_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT87_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT88_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT89_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT8_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT90_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT91_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT92_G1_1_para_B.TIF,1,0.028,0.028,0.024,255,,
RT93_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT94_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT95_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT96_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT97_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT98_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT99_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT9_G1_1_para_B.TIF,0,0,NaN,0,NaN,,
RT_G1_1_negative_B.TIF,0,0,NaN,0,NaN,,
RT_G1_1_positive_B.TIF,8,0.353,0.044,0.297,255,,
RT_G1_3_negative_Atr.TIF,1,0.009,0.009,0.007,0.387,0.769,0.934
RT_G1_3_positive_Atr.TIF,6,0.239,0.04,0.177,2.152,0.151,0.335
RT1_G1_3_para_Atr.TIF,6,0.074,0.012,0.055,0.708,0.353,0.67
RT10_G1_3_para_Atr.TIF,5,0.132,0.026,0.098,1.211,0.29,0.582
RT100_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT11_G1_3_para_Atr.TIF,6,0.24,0.04,0.179,1.909,0.186,0.451
RT12_G1_3_para_Atr.TIF,1,0.055,0.055,0.042,2.592,0.103,0.296
RT13_G1_3_para_Atr.TIF,3,0.057,0.019,0.045,1.027,0.308,0.646
RT14_G1_3_para_Atr.TIF,6,0.174,0.029,0.136,1.48,0.288,0.494
RT15_G1_3_para_Atr.TIF,3,0.142,0.047,0.111,2.26,0.117,0.333
RT16_G1_3_para_Atr.TIF,3,0.085,0.028,0.067,1.34,0.253,0.534
RT17_G1_3_para_Atr.TIF,4,0.069,0.017,0.054,1.211,0.184,0.454
RT18_G1_3_para_Atr.TIF,5,0.13,0.026,0.102,1.125,0.337,0.575
RT19_G1_3_para_Atr.TIF,3,0.198,0.066,0.155,3.29,0.186,0.465
RT2_G1_3_para_Atr.TIF,8,0.188,0.023,0.14,1.422,0.201,0.476
RT20_G1_3_para_Atr.TIF,2,0.083,0.041,0.065,2.307,0.259,0.514
RT21_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT22_G1_3_para_Atr.TIF,1,0.02,0.02,0.016,1.195,0.173,0.494
RT23_G1_3_para_Atr.TIF,6,0.132,0.022,0.103,1.202,0.229,0.488
RT24_G1_3_para_Atr.TIF,2,0.067,0.034,0.053,1.767,0.168,0.436
RT25_G1_3_para_Atr.TIF,6,0.187,0.031,0.146,1.609,0.175,0.434
RT26_G1_3_para_Atr.TIF,1,0.127,0.127,0.099,6.091,0.043,0.161
RT27_G1_3_para_Atr.TIF,2,0.015,0.007,0.012,0.471,0.423,0.779
RT28_G1_3_para_Atr.TIF,2,0.052,0.026,0.04,1.381,0.197,0.493
RT29_G1_3_para_Atr.TIF,4,0.124,0.031,0.097,1.804,0.217,0.437
RT3_G1_3_para_Atr.TIF,5,0.334,0.067,0.248,3.023,0.117,0.335
RT30_G1_3_para_Atr.TIF,4,0.232,0.058,0.181,2.806,0.211,0.442
RT31_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT32_G1_3_para_Atr.TIF,5,0.148,0.03,0.115,1.561,0.222,0.501
RT33_G1_3_para_Atr.TIF,2,0.056,0.028,0.043,1.324,0.206,0.459
RT34_G1_3_para_Atr.TIF,1,0.007,0.007,0.005,0.611,0.233,0.54
RT35_G1_3_para_Atr.TIF,1,0.009,0.009,0.007,0.655,0.273,0.574
RT36_G1_3_para_Atr.TIF,1,0.09,0.09,0.071,4.471,0.057,0.197
RT37_G1_3_para_Atr.TIF,5,0.16,0.032,0.124,1.683,0.212,0.481
RT38_G1_3_para_Atr.TIF,1,0.016,0.016,0.012,0.816,0.303,0.639
RT39_G1_3_para_Atr.TIF,7,0.128,0.018,0.1,1.027,0.325,0.584
RT4_G1_3_para_Atr.TIF,4,0.4,0.1,0.297,5.275,0.072,0.253
RT40_G1_3_para_Atr.TIF,3,0.088,0.029,0.068,1.222,0.322,0.59
RT41_G1_3_para_Atr.TIF,2,0.039,0.02,0.03,1.042,0.31,0.669
RT42_G1_3_para_Atr.TIF,3,0.062,0.021,0.048,1.01,0.293,0.616
RT43_G1_3_para_Atr.TIF,5,0.122,0.024,0.094,1.345,0.197,0.48
RT44_G1_3_para_Atr.TIF,6,0.138,0.023,0.107,1.27,0.229,0.534
RT45_G1_3_para_Atr.TIF,2,0.042,0.021,0.032,1.261,0.177,0.497
RT46_G1_3_para_Atr.TIF,1,0.171,0.171,0.132,8.183,0.032,0.114
RT47_G1_3_para_Atr.TIF,4,0.085,0.021,0.066,0.987,0.255,0.554
RT48_G1_3_para_Atr.TIF,2,0.108,0.054,0.084,2.635,0.141,0.443
RT49_G1_3_para_Atr.TIF,7,0.211,0.03,0.163,1.307,0.26,0.518
RT5_G1_3_para_Atr.TIF,5,0.107,0.021,0.079,1.156,0.216,0.524
RT50_G1_3_para_Atr.TIF,1,0.013,0.013,0.01,0.801,0.254,0.591
RT51_G1_3_para_Atr.TIF,4,0.197,0.049,0.154,2.461,0.119,0.375
RT52_G1_3_para_Atr.TIF,4,0.212,0.053,0.167,2.669,0.203,0.501
RT53_G1_3_para_Atr.TIF,2,0.023,0.011,0.018,0.822,0.208,0.471
RT54_G1_3_para_Atr.TIF,4,0.044,0.011,0.034,0.672,0.392,0.694
RT55_G1_3_para_Atr.TIF,3,0.095,0.032,0.073,1.653,0.161,0.445
RT56_G1_3_para_Atr.TIF,3,0.061,0.02,0.047,1.162,0.192,0.555
RT57_G1_3_para_Atr.TIF,3,0.055,0.018,0.043,1.106,0.259,0.526
RT58_G1_3_para_Atr.TIF,5,0.245,0.049,0.189,2.388,0.127,0.402
RT59_G1_3_para_Atr.TIF,6,0.205,0.034,0.161,1.89,0.159,0.421
RT6_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT60_G1_3_para_Atr.TIF,2,0.054,0.027,0.043,1.632,0.136,0.394
RT61_G1_3_para_Atr.TIF,2,0.065,0.032,0.054,2.043,0.1,0.418
RT62_G1_3_para_Atr.TIF,3,0.051,0.017,0.042,1.127,0.182,0.433
RT63_G1_3_para_Atr.TIF,5,0.145,0.029,0.12,1.696,0.236,0.482
RT64_G1_3_para_Atr.TIF,3,0.058,0.019,0.048,1.028,0.27,0.605
RT65_G1_3_para_Atr.TIF,2,0.028,0.014,0.023,0.818,0.301,0.536
RT66_G1_3_para_Atr.TIF,3,0.066,0.022,0.055,1.328,0.177,0.491
RT67_G1_3_para_Atr.TIF,4,0.198,0.049,0.151,3.147,0.084,0.316
RT68_G1_3_para_Atr.TIF,1,0.021,0.021,0.017,1.118,0.213,0.774
RT69_G1_3_para_Atr.TIF,2,0.028,0.014,0.023,0.883,0.227,0.6
RT7_G1_3_para_Atr.TIF,6,0.151,0.025,0.112,1.356,0.228,0.484
RT70_G1_3_para_Atr.TIF,2,0.05,0.025,0.04,1.717,0.133,0.292
RT71_G1_3_para_Atr.TIF,2,0.05,0.025,0.04,1.519,0.28,0.527
RT72_G1_3_para_Atr.TIF,2,0.032,0.016,0.026,1.002,0.219,0.568
RT73_G1_3_para_Atr.TIF,2,0.027,0.014,0.022,0.67,0.362,0.653
RT74_G1_3_para_Atr.TIF,2,0.073,0.036,0.058,2.063,0.241,0.542
RT75_G1_3_para_Atr.TIF,3,0.04,0.013,0.032,0.848,0.233,0.514
RT76_G1_3_para_Atr.TIF,1,0.029,0.029,0.024,1.661,0.134,0.506
RT77_G1_3_para_Atr.TIF,3,0.067,0.022,0.054,1.15,0.254,0.529
RT78_G1_3_para_Atr.TIF,5,0.095,0.019,0.076,1.014,0.241,0.493
RT79_G1_3_para_Atr.TIF,3,0.071,0.024,0.057,1.233,0.19,0.477
RT8_G1_3_para_Atr.TIF,5,0.246,0.049,0.183,2.799,0.188,0.423
RT80_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT81_G1_3_para_Atr.TIF,4,0.141,0.035,0.113,1.968,0.128,0.348
RT82_G1_3_para_Atr.TIF,1,0.063,0.063,0.051,3.586,0.062,0.189
RT83_G1_3_para_Atr.TIF,2,0.074,0.037,0.059,1.955,0.125,0.37
RT84_G1_3_para_Atr.TIF,6,0.099,0.016,0.079,0.982,0.234,0.531
RT85_G1_3_para_Atr.TIF,3,0.047,0.016,0.038,0.91,0.264,0.6
RT86_G1_3_para_Atr.TIF,4,0.178,0.045,0.143,2.405,0.156,0.393
RT87_G1_3_para_Atr.TIF,1,0.033,0.033,0.026,1.607,0.158,0.529
RT88_G1_3_para_Atr.TIF,4,0.085,0.021,0.068,1.284,0.233,0.482
RT89_G1_3_para_Atr.TIF,3,0.155,0.052,0.124,2.323,0.171,0.419
RT9_G1_3_para_Atr.TIF,6,0.067,0.011,0.051,0.755,0.283,0.575
RT90_G1_3_para_Atr.TIF,4,0.065,0.016,0.052,0.976,0.287,0.556
RT91_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT92_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT93_G1_3_para_Atr.TIF,1,0.026,0.026,0.021,1.392,0.169,0.434
RT94_G1_3_para_Atr.TIF,3,0.04,0.013,0.032,0.756,0.306,0.606
RT95_G1_3_para_Atr.TIF,3,0.038,0.013,0.031,0.809,0.251,0.539
RT96_G1_3_para_Atr.TIF,1,0.019,0.019,0.015,1.311,0.138,0.51
RT97_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT98_G1_3_para_Atr.TIF,3,0.053,0.018,0.043,1.085,0.218,0.498
RT99_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT100_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT10_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT11_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT12_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT13_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT14_G1_3_para_B.TIF,1,0.028,0.028,0.023,255,,
RT15_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT16_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT17_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT18_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT19_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT1_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT20_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT21_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT22_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT23_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT24_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT25_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT26_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT27_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT28_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT29_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT2_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT30_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT31_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT32_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT33_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT34_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT35_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT36_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT37_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT38_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT39_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT3_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT40_G1_3_para_B.TIF,1,0.006,0.006,0.005,255,,
RT41_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT42_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT43_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT44_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT45_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT46_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT47_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT48_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT49_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT4_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT50_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT51_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT52_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT53_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT54_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT55_G1_3_para_B.TIF,1,0.04,0.04,0.032,255,,
RT56_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT57_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT58_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT59_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT5_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT60_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT61_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT62_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT63_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT64_G1_3_para_B.TIF,2,0.017,0.009,0.014,255,,
RT65_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT66_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT67_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT68_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT69_G1_3_para_B.TIF,3,0.093,0.031,0.076,255,,
RT6_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
RT70_G1_3_para_B.TIF,0,0,NaN,0,NaN,,
