Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20230813,21,Ndata,1360.3,1360.4,1360.3,1360.3,1360.4
FN,20230813,21,Sample,1436,1436.1,1436,1436,1436.1
FA,20230814,22,Ndata,1360.3,1360.4,1360.3,1360.3,1360.4
FN,20230814,22,Ndata,1338.2,1338.3,1338.2,1338.2,1338.3
FA,20230814,22,Ndata,1360.5,1360.5,1360.6,1360.7,1360.6
FN,20230814,22,Sample,1451.2,1451.2,1451.2,1451.2,1451.1
FA,20230819,23,Ndata,1360.5,1360.5,1360.6,1360.7,1360.6
FN,20230819,23,Ndata,1337.7,1337.8,1337.8,1337.7,1337.8
FA,20230819,23,Ndata,1360.5,1360.5,1360.4,1360.4,1360.5
FN,20230819,23,Sample,1427.5,1427.6,1427.5,1427.5,1427.6
FA,20230810,24,Ndata,1360.5,1360.5,1360.4,1360.4,1360.5
FN,20230810,24,Ndata,1342.1,1342,1342.1,1342.1,1342.1
FA,20230810,24,Ndata,1360.4,1360.3,1360.3,1360.4,1360.3
FN,20230810,24,Sample,1435.1,1435.1,1435.2,1435.2,1435.1
FA,20230921,25,Ndata,1360.4,1360.3,1360.3,1360.4,1360.3
FN,20230921,25,Ndata,1341.7,1341.6,1341.6,1341.7,1341.6
FA,20230921,25,Ndata,1360.7,1360.7,1360.7,1360.8,1360.7
FN,20230921,25,Sample,1423.6,1423.6,1423.5,1423.5,1423.5
FA,20230922,26,Ndata,1360.7,1360.7,1360.7,1360.8,1360.7
FN,20230922,26,Ndata,1341.2,1341.1,1341.1,1341.1,1341.2
FA,20230922,26,Ndata,1360.4,1360.4,1360.4,1360.5,1360.4
FN,20230922,26,Sample,1443.9,1443.8,1443.9,1443.9,1443.9
FA,20230925,27,Ndata,1360.4,1360.4,1360.4,1360.5,1360.4
FN,20230925,27,Ndata,1337.3,1337.3,1337.4,1337.3,1337.3
FA,20230925,27,Ndata,1360.8,1360.8,1360.9,1360.8,1360.8
FN,20230925,27,Sample,1440.1,1440.2,1440.1,1440.1,1440.1
FA,20230926,28,Ndata,1360.8,1360.8,1360.9,1360.8,1360.8
FN,20230926,28,Ndata,1338,1338.1,1338.1,1338.1,1338.1
FA,20230926,28,Ndata,1360.8,1360.8,1360.9,1360.8,1360.8
FN,20230926,28,Sample,1440,1440,1440,1440.1,1440.1
FA,20230927,29,Ndata,1360.8,1360.8,1360.9,1360.8,1360.8
FN,20230927,29,Ndata,1336,1336.1,1336,1336,1336.1
FA,20230927,29,Ndata,,,,,
FN,20230927,29,Sample,,,,,
